ID	SRCID	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS	ANNOTATIONS	COMMENT
1058	to-smell	to smell	1586	SMELL (PERCEIVE)	smell / smell-3SgmO / - / Vcls 2	
1059	to-sneeze	to sneeze	1621	SNEEZE	sneeze / [W] / [K]	
1060	to-speak	to speak	1623	SPEAK	[ra] underlined / speak / I spoke / say, speak / marked with ! and (2s) / speak, say / he/she says / say / [ta] underlined / [dɨ] underlined / let's talk / [daa] underlined / he said / 'language' / he says / say, talk, speak / 'sound, voice' / to cry / speak, say, talk, utter / say, speak; sing	
1061	to-spear	to spear	473	SPEAR (SOMEBODY)	kill (pig by spearing) / spear (v), kill (by spearing), stab / spear (v), stab, pierce / spear (v), kill (by spearing) / spear (v)	
1062	to-spin-twirl	to spin, twirl	121	SPIN	car, truck / spin, twirl, go around in circles	
1063	to-spit	to spit	1440	SPIT	spit / (he) spits / Vcls 1	
1064	to-split	to split	1437	SPLIT	split clothlike object-3SgmO / to split small pieces / split! / Vcls 1 'split firewood, or vine for lashing' / break off a piece / Vcls 1 'split bamboo, or areca palm trunk for walling or flooring' / to crack in the fire / shiver / wood / to cut in half / to break open by splitting coconuts, etc.; chick to hatch; to split up / break wood / to split firewood / split / (wood) / +	
1065	to-squeeze	to squeeze	1414	SQUEEZE	squeeze-3SgmO / Vcls 1 / squeeze / squeeze out of skin-3SgmO	
1066	to-stab	to stab	1434	STAB	he stabbed it / Vcls 1 stab, shoot / stab-3SgmO / stab / Vcls 1 'stab', poke, as ground for post etc / Vcls 1 stab, pierce, prick (AN loan) / pierce-3SgmO	
1067	to-stand	to stand	1442	STAND	[daa'] underlined / rise, get up / to stand / to arise, get up, stand up / [tɨq] underlined / to stand, rise, recover from sickness / command, besiota 'man stands' / (he) stands / stand / stand up! / stand up (trans.) / I arose (stood up) / get up, stand up, wake up (PL Subj.) / stand up (post) (trans.) / marked with ! and (2s) / [waat] underlined / to stand perpendicularly, straight / [ero] underlined / he stood / he stands / [ntaapy] underlined / Vcls 1 / to moor canoe, to anchor something securely to a place / get up, stand up, arise / stand (intrans.) / stand (one person) / - / two men are standing / to put down, to sit on end / [rakav] underlined, [humaa] underlined / get up, stand up, wake up / to stand; to stay behind; to wait / (sg.) / he stands up / arise, stand up / get up / stop / [to] underlined / arise, get up, get going / stand (trans.) / he is standing / stand (sg subj) / stand up / Daga -aoyon / I stand / arise, get up / (pl.) / (Be feet) / [mpitota] underlined / [vot] underlined / [taq] underlined / I stood up / v?	
1068	to-stand-up	to stand up	570	STAND UP		
1069	to-stay	to stay			stay, be in a place, live, remain / 'to be 1' / to be, stay 2 / stay, be (in a place) / to be, stay 1 / 'to be 2'	
1070	to-steal	to steal	713	STEAL	steal-3SgmO / Vcls 1 / steal / to pickpocket, to steal	
1071	to-stink	to stink	1587	SMELL (STINK)		
1072	to-stop	to stop	2115	CEASE OR FINISH	leave (stg) / leave, depart from, stop, quit / leave (depart), leave off, stop (doing stg) / stop / stop, discontinue / stop, leave off (sg obj)	
1073	to-straighten	to straighten				
1074	to-suck	to suck	1421	SUCK	'as in suck on fingers' / suck-3SgmO / suck / suck at breast / at breast / (he) sucks / Vcls 1 (AN loan, see 'breast')	
1075	suck-breast	to suck at breast				
1076	to-swallow	to swallow	897	SWALLOW	-	
1077	to-sweat	to sweat	126	SWEAT (PERSPIRE)	to perspire, sweat / perspire / sweat / perspire, sweat / -	
1078	to-swell	to swell	1573	SWELL	Vcls 1 / bulge / Vcls 1 also 'be full from eating' / swell / (it) swells / it swelled / - / Vcls 2 also 'rise, climb'	
1079	to-swim	to swim	1439	SWIM	I swam / [yaatakun] underlined / marked with !  / swim; float / swim! (2s) / to float / swim / float / [lɨ'n'] underlined / to float (subject active); to flood / [?] / [naa'imana] underlined / bathe / [kiq] underlined / Vcls 1; also 'float' / 'wash', no word for 'swim' / marked with !	
1080	to-take	to take	1749	TAKE	take (with) / take with / [W] / to take / to fetch / to take, to let down net / I took / take! / take / +	
1081	to-talk	to talk	2708	TALK	speak / talk, speak / + (tr.) / true (lit: 'talk true') / language, talk / language / talk/speech / speech / talk / + (int) / talk, speech, saying / he is listening / +give / talk, speech, language, word / true / talk to me / talk, speech	
1082	to-tear	to tear	1735	TEAR (SHRED)	-	
1083	to-tell	to tell	1711	TELL	he told me	
1084	to-think	to think	1415	THINK (REFLECT)	Arabic / Vcls 1 / think, remember / think / to think of / +	
1085	to-throw	to throw	1456	THROW	to throw with intent / Vcls 1 / Vcls 1 incl throw spear / (he) throws: / to throw away / throw away / he threw it / to separate / throw 3SgmO / noun / Vcls 1 throw at / to throw straight / throw / [W] to throw away / +	
1086	throw-away	to throw away				
1087	to-thunder	to thunder	2378	THUNDER (VERB)		
1088	to-tie	to tie	1917	TIE	tie.at.both.ends-3SgmO (e.g. clothline) / tie up / lash, bind, tie (canoe, fence) / bundle / tie feathers on head / Vcls 1 / tie rope / he tied it / [W] / tie, fasten / to untwist / to bind, tie, knot, lash / with cord / Vcls 1 (AN loan) / tie-3SgmO / tie.to.string-3SgmO (e.g. kite) / I tie / tie with knot / tie / to bind / tie string for string bag / tie (rope) / tie on, lash / knot / to tie up / tie around	
1089	to-touch	to touch	1892	TOUCH		
1090	to-tow	to tow				
1091	to-trade	to trade	2135	TRADE OR BARTER		
1092	to-travel	to travel	2393	JOURNEY		
1093	to-tremble	to tremble				
1094	to-turn	to turn	1588	TURN	to turn around / turn-3SgmO / turn with opening down-3SgmO / (he) turns / turn horizontally-3SgmO / turn / -	
1095	twist	to twist	430	TWIST	'to twist rope'	
1096	to-understand	to understand	1536	UNDERSTAND	understand (language)	
1097	to-urinate	to urinate	592	PISS	(urine + verb) / urine / urinate	
1098	to-vomit	to vomit	1278	VOMIT	(he) vomits / he vomited / vomit / noun / Vcls 3 / Vcls 2, of small children / (noun) / -	
1099	to-wait	to wait	1590	WAIT (FOR)		
1100	to-wake-up	to wake up	1602	WAKE UP		
1101	to-walk	to walk	1443	WALK	+ (walk about) / go! / [wange] underlined / to walk at / Vcls 2 / [ntaaya] underlined / he walks / go down / go up / tunub̶dai / take steps / go / to walk around / go!  / - (take steps) / go away / Daga - aiwa / walk (go!) / to cross, get on board, go south / walk / 'man walks' / ? / walk, go / [wɨq] underlined / [waa] underlined / walk about / [emaly] underlined	
1102	towards	towards	2754	TOWARDS		
1103	to-wash	to wash	1453	WASH	wash.sg.obj / wash, water (trans.), bathe (intrans.) / wash oneself / going to bath, have a wash, swimming / he washed it / wash (sg obj) / wash (oneself), bathe / + / wash (oneself) / swim / wash sago / paint, bathe / wash / to get wet / swim, wash / I washed myself / to bathe, wash oneself or someone / bathe / (he) washes / to wash / wash (stg)	
1104	to-watch	to watch	1650	WATCH	(intr) / +	
1105	to-wipe	to wipe	1454	WIPE		
1106	to-work	to work	1086	WORK (ACTIVITY)	work / Vcls 1	
1107	to-yawn	to yawn	1028	YAWN	Vcls 1	
1108	transitive-verb-forming-suffix-causative	transitive verb forming suffix, causative			transitive verb forming suffix, causative	
1109	tree	tree	906	TREE	nut-bearing tree / fire / 'tree, wood, firewood' / tree, stick, pole / leaf / tree (generic term) / + / tree, wood / zawa / wood / wood, fire / tree, wood, stick / root of tree / cut tree / generic term for tree / tree, wood, fire / tree, stick, wood, pole, log / also 'fire' / *Moszkowski list / type of tree / tree / Daga - oma	
1110	tree-base	tree base			stump; fundamentals, foundation for ideas, basis, source / trunk of tree / meaning / root / reason / roots / base of tree; source; each item planted / base (of tree); basis, motivation, source / stump of tree / taproot, main descending root of a tree	
1111	tree-kangaroo	tree kangaroo				What is the relationship with the other KANGAROO in the list?
1112	tree-possum	tree possum				POSSUM already used (we also have `tree possum`)
1113	tree-sap	tree sap				Hyponym of SAP, missing in Concepticon
1114	tree-sp-Gnetum-gnemon	tree sp. (Gnetum gnemon)				
1115	tree-top	tree top			+	
1116	true	true	1657	TRUE	true	
1117	trunk	trunk (of tree)	776	TRUNK OF TREE	center / + / trunk / (Acɨ dialect) / (tree) trunk	
1118	tuber	tuber				
1119	turtle	turtle	112	TURTLE	turtle, turtle-shell earrings / sea turtle / turtle	
1120	tusk	tusk	3280	TUSK		
1121	twelve	twelve	1707	TWELVE		
1122	twenty	twenty	1710	TWENTY	two tens	
1123	two	two	1498	TWO	three / 'taken from Galis' list' / between the legs / two born from same stomach / tere korumpai 'two stones' / kupařiai / cut in two / two / -	
1124	two-days-ago-or-hence	two days ago or hence			day after tomorrow, two days from now / three days from now / two days from now / two days ago / day before yesterday	
1125	two-hundred	two hundred				
1126	umbilical-cord	umbilical cord			[P] / navel	
1127	uncle	uncle	1327	UNCLE	maternal uncle / uncle, grandfather / uncle.1POSS / maternal aunt / uncle, mother's brother or male cousin, father's sister's husband or female cousin's husband / uncle.1.POSS / uncle: mother's brother and male cousin, father's sister's husband and father's female cousin's husband	
1128	uncooked	uncooked	1959	RAW		
1129	underneath	underneath				
1130	unripe	unripe	1958	UNRIPE	unripe / green, unripe	
1131	upper-arm	upper arm	431	UPPER ARM		
1132	upper-part-of-tree	upper part (of tree)			end of object / upstream / top of tree, growing part of coconut; end of canoe that one seizes to lift it up / the growing end / tree top / upper part of river / growing crown of tree; canoe prow	
1133	urchin	urchin			sea urchin with short spines (edible) / edible sea urchin (class Echinoidea) / pig spear / sea urchin with long spines, mushroom coral / sea urchin / manta ray	
1134	urine	urine	1142	URINE	+	
1135	us	us (pronoun o:1p)	2310	US (OBLIQUE CASE OF WE)		
1136	us-two	us two (pronoun o:1p, dual)				
1137	vagina	vagina	1836	VAGINA	vagina	
1138	valley	valley	921	VALLEY		
1139	vegetable	vegetable	924	VEGETABLES		
1140	vegetation	vegetation	653	PLANT (VEGETATION)		
1141	vein	vein	1924	VEIN	blood vessel; collapsed veins / vein / blood vessels: arteries, veins, and capillaries / veins / +	
1142	venus	Venus				
1143	verb-suffix-past-tense-sg	verb suffix, past tense SG			verb suffix, past tense sg	
1144	verb-suffix-present-continuous-sg	verb suffix, present continuous, SG			verb suffix, present continuous, SG	
1145	village	village	930	VILLAGE	village / village, community / village, place / home, house (name avoidance term); village / at the village (short form of 'da ai') / house, dwelling, abode / place / house woman	
1146	vine	vine	343	VINE	hook under and caron over [l]? / ayŋaŋi - tree, angis - ground / - / 'kweda' / yəmbʷeⁱ	
1147	vocative	vocative				
1148	voice	voice	1363	VOICE		
1149	vulva	vulva	1837	VULVA	vulva / (3s) / +	
1150	waist	waist	1681	WAIST	trunk of tree / thigh / waist / waist; trunk of tree / trunk of body / stern, waist, loins	
1151	walking-stick	walking stick	1296	WALKING STICK	staff / walking cane, staff / staff; cane; walking stick / walking cane / walking stick / walking cane, stick for aiding people in walking	
1152	wall	wall	933	WALL (OF HOUSE)	[A] wall / 'fence' / wall, fence	
1153	wallaby	wallaby	165	WALLABY	wallaby/dugong / wallaby / v?	
1154	warm	warm/hot	2272	HOT OR WARM	[tɨq] in last word underlined / southern sociolect of Arapesh / adj / fire / hot water / verb 'to be' follows / hot (water) / be hot, perspire / of the day / warm, hot in general / to be warm / =hot / warm / hot / of water / northern sociolect of Arapesh / vanava ivai / (water)	
1155	wasp	wasp	1517	WASP	wasp, hornet / bee / insect / Taipan Snake or Papuan Black Snake / Taipan, Papuan Black Snake / Papuan Black Snake, Taipan (highly poisonous) / 'bee' / wasp	
1156	water	water	948	WATER	[S] river, water / fish (lit: 'water game') / is this a gamma? / water; liquid / water (river, fresh) / cold (water) / An. loanʔ / + / 'ařum / swim / swim, wash oneself / naiařa - drink / *Moszkowski list / Daga -kaum / liquid substance (prototypically water) / river / also 'river', AN loan (?) / water, river / water	
1157	wave	wave	978	WAVE		
1158	weavingwoven-material	weaving/woven material			basket / rope or string made of several ply rolled together from prepared siria bark / seine fish net, pandanus	
1159	we-dual	we dual (pronoun d:1p, dual)	2634	WE TWO	we (dl) / +	
1160	we-two-excl	we excl. dual (pronoun d:1p, excl, dual)	2636	WE TWO (EXCLUSIVE)	we (1du.excl)	
1161	we-pl-excl	we excl. plural (pronoun d:1p, excl, plural)	2636	WE TWO (EXCLUSIVE)	gǥai / we pl excl / we (1pl.excl) / +	
1162	we-excl	we excl. (pronoun d:1p, excl)	1130	WE (EXCLUSIVE)	we plural excl / we (1pl.excl) / exclusive / excl. / we (exclusive)	
1163	we-two-incl	we incl. dual (pronoun d:1p, incl, dual)	2637	WE TWO (INCLUSIVE)	we (1du.incl)	
1164	we-pl-incl	we incl. plural (pronoun d:1p, incl, plural)	1131	WE (INCLUSIVE)	we (1pl.incl)	
1165	we-incl	we incl. (pronoun d:1p, incl)	1131	WE (INCLUSIVE)	incl. / we (1pl.incl) / incl / inclusive	
1166	we	we (pronoun d:1p)	1212	WE	we (pl) / emph / incl / we all / we / (both incl. and excl.) / excl / PL in original doc / exclusive / inclusive	
1167	wet	wet	1726	WET	adj / (Acɨ dialect) / ripe (banana) / blood / to wet / (clothing) / Vcls 1 / wet clothing / waterfall / wet, watery / + / adj 'moist' / rotten / grass / ripe / moisten by dipping up water with hands or wings and splashing it on a burning object / rapids, waterfall / wet / clothing / rain / blood (borrowed) / vᵊgavᵊga / wet (clothing) / liquid/wet / same as 'cold' / 'kɔul'ɔl'ava / wetness	
1168	what	what?	1236	WHAT	what / what (is it)? (self questioning) / - / who?, what? / what?	
1169	when	when?	1238	WHEN	Arabic / adv, also 'how many' / past / (past) / when? / future / (future) / ?	
1170	where	where?	1237	WHERE	hɛyaʔ / where / where? / -	
1171	which	which?	727	WHICH	which?	
1172	whiskers	whiskers	1165	MOUSTACHE		
1173	white	white	1335	WHITE	Vcls 1 (AN: Tigak & Lavongai: posok) / white / be white / clear area / wamaⁱwi / to be midday, sun has climbed up to overhead position / light / white cockatoo / +	
1174	who	who?	1235	WHO	singular / plural / who are you? / who / (sg) / who, which / who? / +	
1175	why	why?	1270	WHY		
1176	wide	wide	1243	WIDE	'wide, flast, smooth'	
1177	widow	widow	1756	WIDOW		
1178	widowed	widowed			[K] / [S] widow	
1179	widower	widower	1981	WIDOWER		
1180	wife	wife	1199	WIFE	my husband / 28? / [A] / [K] / daughter-in-law / wife (of man's brother) / sister-in-law, wife's older sister / my wife / your wife / also 'old woman' (same in Nochi) / sister-in-law: younger brother's wife / (wife's older) sister / his wife / your wife (possessive referential term) / grandmother, great-aunt: father's aunts, mother's aunts / daughter-in-law (referential affine term) / wife of older brother / sister-in-law, younger brother's wife, wife's younger sister / son's wife: daughter-in-law / his wife (possessive referential term) / daughter-in-law (lit: 'son wife') / wife / married woman / sister-in-law, brother's wife (male referential affine term) / wife's older sister / marry, (take) wife' (form suspicious; expected bar-e)	
1181	wind	wind	960	WIND	nor-nor-west wind / heavy rain/wind / wind / al'ivi / a west-north-west wind / gale / (AN loan) / flame / flames, brilliance, flames shooting up from fire / sparks, flames; brilliance / sky? / heavy waves from S.E. / breeze / strong wind / +	
1182	wind-cold	wind, cold			wind / cold / cold (also means 'wind') / wind; the cold / cold (water, food) / wind, air / wind, the cold / (water) / +	
1183	wing	wing	1257	WING	arms tired / (dubious) / wing; name avoidance word for arm/hand / arm, hand; wing / wings / wing / naxia? / (its) wing / strength / doubtfull?? / -	
1184	witchcraft	witchcraft				
1185	with	with	1340	WITH	together with	
1186	with-by-means-of	with (by means of)			on, on top of, by (car or truck) / with	
1187	woman	woman	962	WOMAN	skirt, woman's dress / singular / old woman, plural / grass skirt / married woman, woman, wife / plural / woman, wife, female / old woman / 'woman, female' / wife / woman; wife / my wife / old woman, singular / woman, wife / woman (= female person) / pl. / - / Daga - oaen / woman	
1188	womans-clothes-pulpul	woman's clothes (pulpul)				
1189	womans-in-law	woman's in law 				
1190	woodwick	wood/wick	1803	WOOD	block of wood, short piece of timber / charred / wick	
1191	word	word	1599	WORD		
1192	work-n	work (n)	984	WORK (LABOUR)	clear garden / garden / clear garden, weed garden / weeding / work (n)	
1193	worm	worm	1219	WORM	Austronesian / worm / (spp, long and thin) / round-worm / earthworm, worm (generic) / earthworm / earth worm	
1194	wrap	wrap	1113	WRAP	wrap up / wrap up, package, bundle; tie sago leaf roof poles on to roof / wrap around / wrap / woman's clothes / to wrap a girl in a lavalava or tapa cloth (intrans.) / to wind/wrap string around something, twist two pieces of thread together, bandage / to wrap / to untwist	
1195	write-draw	write, draw	1672	WRITE		
1196	yam	yam	410	YAM	yam (type) / yam / yam (type of) / +	
1197	yam-maho	yam (maho)				
1198	yam-taitu	yam (taitu)				
1199	year	year	1226	YEAR	year / also 'low tide, reef at low tide' / Austronesian loanword	
1200	yellow	yellow	1424	YELLOW	black, blue, purple / 'yellow 1' / Vcls 1 / yellow / cerise, brilliant pink / yellow, ginger / white / yellow, orange / 'yellow 2' / orange, yellow-orange / black / yellow, green / ko'mogu / +	
1201	yes	yes	1268	YES	yes / +	
1202	yesterday	yesterday	1174	YESTERDAY	yesterday/tomorrow / 'eḷá / same word as tomorrow / yesterday / yesterday, tomorrow / iauara / nař / +	
1203	yesterday-tomorrow	yesterday, tomorrow			yesterday/tomorrow	Hypernym missing in Concepticon.
1204	young	young	1207	YOUNG		
1205	young-boy	young boy				
1206	younger-brother	younger brother	1760	YOUNGER BROTHER	('boy')	
1207	youngerlastborn	younger/lastborn			brothers (male and female referential term) / small brother/sister / sibling (same sex, younger) / last / my sibling (opposite sex, younger) / maternal aunt / father's brother / brother (of man) / lastborn / brothers (male referential term) / my sibling (same sex, younger) / last one (brother/sister) / younger brother / second or third child / brother (younger) / last, lastborn	
1208	younger-sister	younger sister	1761	YOUNGER SISTER		
1209	young-man	young man	76	YOUNG MAN	children, child / servant, young man / young boy / small children, toddlers; insignificant people (diminutive form) / young man / children / single boy ? / boy	
1210	you-pl	you pl. (pronoun d:2p)	1213	YOU	you pl excl / you.pl / you (2pl) / plural / emph / [W] / dzin / you singular / you (pl) / you (pl.) / ye	
1211	you-pl-o2p	you pl. (pronoun o:2p)	2312	YOU (OBLIQUE CASE OF YOU)		
1212	you-pl-dual-o2p	you pl. two (pronoun o:2p, dual)	2111	YOU TWO		
1213	you-pl-dual	you plural two (pronoun d:2p, dual)	2111	YOU TWO		
1214	you	you (pronoun d:2s)			you / you (female personɔ / singular / you alone, only you / emph / you.sg / SG in original doc / you (2sg) / you (sg.) / [W] / you (male personɔ / inclusive	
1215	you-o2s	you (pronoun o:2s)	2304	THEE (OBLIQUE CASE OF YOU)		
1216	your-pl	your pl (pronoun p:2p)	2274	YOUR (PLURAL)	[W] / [S] / [Y] / gen.	
1217	your-sg	your (pronoun: p:2s)	732	YOUR (SINGULAR)	your (2sg.poss) / gen.	
1218	your-pl-dual	your (two) pl (pronoun p:2p, dual)			gen.	
1219	youth	youth				
1220	you-dual	you two (pronoun d:2s, dual)	2111	YOU TWO	you (dl) / you (2du) / 'pgai'	
